State,Interstate,Intrastate,Year,Month,,
New South Wales,733,2327,2022,January,,
Victoria,393,2000,2022,January,,
Queensland,1034,1350,2022,January,,
South Australia,130,453,2022,January,,
Western Australia,120,923,2022,January,,
Tasmania,480,187,2022,January,,
Northern Territory,390,478,2022,January,,
Australian Capital Territory,123,130,2022,January,,
New South Wales,1253,2487,2023,January,,
Victoria,937,2366,2023,January,,
Queensland,1012,1522,2023,January,,
South Australia,387,433,2023,January,,
Western Australia,222,1043,2023,January,,
Tasmania,130,149,2023,January,,
Northern Territory,220,112,2023,January,,
Australian Capital Territory,148,233,2023,January,,
New South Wales,721,1698,2022,February,,
Victoria,335,1494,2022,February,,
Queensland,439,1069,2022,February,,
South Australia,115,318,2022,February,,
Western Australia,210,549,2022,February,,
Tasmania,173,173,2022,February,,
Northern Territory,110,130,2022,February,,
Australian Capital Territory,169,187,2022,February,,
New South Wales,737,1865,2023,February,,
Victoria,521,1420,2023,February,,
Queensland,495,1233,2023,February,,
South Australia,201,365,2023,February,,
Western Australia,209,691,2023,February,,
Tasmania,178,288,2023,February,,
Northern Territory,154,167,2023,February,,
Australian Capital Territory,202,210,2023,February,,
New South Wales,787,1834,2022,March,,
Victoria,555,1556,2022,March,,
Queensland,641,1305,2022,March,,
South Australia,239,310,2022,March,,
Western Australia,560,694,2022,March,,
Tasmania,145,150,2022,March,,
Northern Territory,112,322,2022,March,,
Australian Capital Territory,201,210,2022,March,,
New South Wales,819,2170,2023,March,,
Victoria,799,1961,2023,March,,
Queensland,495,1192,2023,March,,
South Australia,243,482,2023,March,,
Western Australia,151,733,2023,March,,
Tasmania,117,129,2023,March,,
Northern Territory,112,120,2023,March,,
Australian Capital Territory,266,289,2023,March,,
New South Wales,1164,2442,2022,April,,
Victoria,680,1890,2022,April,,
Queensland,789,1664,2022,April,,
South Australia,224,455,2022,April,,
Western Australia,110,855,2022,April,,
Tasmania,276,281,2022,April,,
Northern Territory,110,55,2022,April,,
Australian Capital Territory,340,176,2022,April,,
New South Wales,1112,2210,2023,April,,
Victoria,876,2023,2023,April,,
Queensland,700,1429,2023,April,,
South Australia,255,442,2023,April,,
Western Australia,131,965,2023,April,,
Tasmania,120,290,2023,April,,
