Year,Month,Number,State
2020,January,2233,Adelaide
2020,February,2257,Adelaide
2020,March,2373,Adelaide
2020,April,1564,Adelaide
2020,May,1636,Adelaide
2020,June,1674,Adelaide
2020,July,1800,Adelaide
2020,August,1826,Adelaide
2020,September,1930,Adelaide
2020,October,1939,Adelaide
2020,November,2079,Adelaide
2020,December,2486,Adelaide
2021,January,1806,Adelaide
2021,February,1948,Adelaide
2021,March,2241,Adelaide
2021,April,1834,Adelaide
2021,May,2017,Adelaide
2021,June,2006,Adelaide
2021,July,2031,Adelaide
2021,August,2128,Adelaide
2021,September,2328,Adelaide
2021,October,2273,Adelaide
2021,November,2696,Adelaide
2021,December,2601,Adelaide
2022,January,1982,Adelaide
2022,February,2275,Adelaide
2022,March,2592,Adelaide
2022,April,1571,Adelaide
2022,May,1834,Adelaide
2022,June,1796,Adelaide
2022,July,1578,Adelaide
2022,August,1766,Adelaide
2022,September,1539,Adelaide
2022,October,1550,Adelaide
2022,November,1931,Adelaide
2022,December,2048,Adelaide
2023,January,1442,Adelaide
2023,February,1415,Adelaide
2023,March,1640,Adelaide
2023,April,1328,Adelaide
2023,May,1635,Adelaide
2023,June,1490,Adelaide
2023,July,1368,Adelaide
2023,August,1575,Adelaide
2023,September,1364,Adelaide
2023,October,1449,Adelaide
2023,November,1876,Adelaide
2023,December,2333,Adelaide
2024,January,1428,Adelaide
2024,February,1409,Adelaide
2024,March,1322,Adelaide
2024,April,1388,Adelaide
2024,May,1501,Adelaide
2024,June,1350,Adelaide
2024,July,1509,Adelaide
2020,January,5522,Brisbane
2020,February,5770,Brisbane
2020,March,6102,Brisbane
2020,April,4457,Brisbane
2020,May,5020,Brisbane
2020,June,5734,Brisbane
2020,July,5782,Brisbane
2020,August,5376,Brisbane
2020,September,5883,Brisbane
2020,October,5287,Brisbane
2020,November,5914,Brisbane
2020,December,7422,Brisbane
2021,January,4710,Brisbane
2021,February,5269,Brisbane
2021,March,6319,Brisbane
2021,April,4683,Brisbane
2021,May,5441,Brisbane
2021,June,5824,Brisbane
2021,July,5560,Brisbane
2021,August,5389,Brisbane
2021,September,5805,Brisbane
2021,October,5649,Brisbane
2021,November,7023,Brisbane
2021,December,6471,Brisbane
2022,January,4526,Brisbane
2022,February,6035,Brisbane
2022,March,5639,Brisbane
2022,April,4888,Brisbane
2022,May,5134,Brisbane
2022,June,5308,Brisbane
2022,July,4725,Brisbane
2022,August,5340,Brisbane
2022,September,4869,Brisbane
2022,October,4825,Brisbane
2022,November,5660,Brisbane
2022,December,5413,Brisbane
2023,January,4387,Brisbane
2023,February,4517,Brisbane
2023,March,5170,Brisbane
2023,April,4076,Brisbane
2023,May,5495,Brisbane
2023,June,4979,Brisbane
2023,July,4827,Brisbane
2023,August,5406,Brisbane
2023,September,4491,Brisbane
2023,October,4823,Brisbane
2023,November,5682,Brisbane
2023,December,5400,Brisbane
2024,January,4465,Brisbane
2024,February,4832,Brisbane
2024,March,4458,Brisbane
2024,April,4690,Brisbane
2024,May,5383,Brisbane
2024,June,4609,Brisbane
2024,July,5194,Brisbane
2020,January,9016,Melbourne
2020,February,9172,Melbourne
2020,March,9905,Melbourne
2020,April,7249,Melbourne
2020,May,7767,Melbourne
2020,June,8385,Melbourne
2020,July,7945,Melbourne
2020,August,6091,Melbourne
2020,September,8093,Melbourne
2020,October,7759,Melbourne
2020,November,8458,Melbourne
2020,December,11285,Melbourne
2021,January,7252,Melbourne
2021,February,7506,Melbourne
2021,March,8706,Melbourne
2021,April,7216,Melbourne
2021,May,8151,Melbourne
2021,June,9218,Melbourne
2021,July,9480,Melbourne
2021,August,9635,Melbourne
2021,September,9635,Melbourne
2021,October,9046,Melbourne
2021,November,10222,Melbourne
2021,December,9386,Melbourne
2022,January,8326,Melbourne
2022,February,9116,Melbourne
2022,March,8281,Melbourne
2022,April,6857,Melbourne
2022,May,7572,Melbourne
2022,June,7553,Melbourne
2022,July,7490,Melbourne
2022,August,8754,Melbourne
2022,September,7765,Melbourne
2022,October,7898,Melbourne
2022,November,8670,Melbourne
2022,December,8482,Melbourne
2023,January,6667,Melbourne
2023,February,6908,Melbourne
2023,March,7788,Melbourne
2023,April,6257,Melbourne
2023,May,8460,Melbourne
2023,June,7699,Melbourne
2023,July,7253,Melbourne
2023,August,8367,Melbourne
2023,September,6871,Melbourne
2023,October,7493,Melbourne
2023,November,8310,Melbourne
2023,December,7745,Melbourne
2024,January,6903,Melbourne
2024,February,6961,Melbourne
2024,March,6576,Melbourne
2024,April,6831,Melbourne
2024,May,7807,Melbourne
2024,June,6928,Melbourne
2024,July,7789,Melbourne
2020,January,4801,Perth
2020,February,4556,Perth
2020,March,4622,Perth
2020,April,2286,Perth
2020,May,2448,Perth
2020,June,2627,Perth
2020,July,2612,Perth
2020,August,2301,Perth
2020,September,2596,Perth
2020,October,2550,Perth
2020,November,2717,Perth
2020,December,3954,Perth
2021,January,2442,Perth
2021,February,2581,Perth
2021,March,3127,Perth
2021,April,2870,Perth
2021,May,3357,Perth
2021,June,3743,Perth
2021,July,3841,Perth
2021,August,3655,Perth
2021,September,3566,Perth
2021,October,3101,Perth
2021,November,3232,Perth
2021,December,3322,Perth
2022,January,2018,Perth
2022,February,3100,Perth
2022,March,2908,Perth
2022,April,2657,Perth
2022,May,2725,Perth
2022,June,2887,Perth
2022,July,2992,Perth
2022,August,3217,Perth
2022,September,2908,Perth
2022,October,2877,Perth
2022,November,3389,Perth
2022,December,3552,Perth
2023,January,2725,Perth
2023,February,2655,Perth
2023,March,2976,Perth
2023,April,2531,Perth
2023,May,3082,Perth
2023,June,2870,Perth
2023,July,2775,Perth
2023,August,3158,Perth
2023,September,2749,Perth
2023,October,2822,Perth
2023,November,3325,Perth
2023,December,3039,Perth
2024,January,2633,Perth
2024,February,2869,Perth
2024,March,2948,Perth
2024,April,2888,Perth
2024,May,3073,Perth
2024,June,2808,Perth
2024,July,3058,Perth
2020,January,7405,Sydney
2020,February,7641,Sydney
2020,March,8084,Sydney
